source_row_index,place_id,custom_id,embedding_row,has_embedding,embedding_text_hash,error,usage_total_tokens
108,ChIJhcQ_MD7_sUARfJIVur3hMcY,location_108_ChIJhcQ_MD7_sUARfJIVur3hMcY,108,True,a00443e75beb279d309fc8b2758e3f8936fa6a2cd267ef480f1dc30821055aea,,473
109,ChIJiTfk1DQBskARf386jjjWR4M,location_109_ChIJiTfk1DQBskARf386jjjWR4M,109,True,205bc0d91057517f799e6a3d79d4efcf8bf8f51966a7ef7ce20538f36e40b87e,,477
110,ChIJjRw1oHIDskAR6OuQDfcHWis,location_110_ChIJjRw1oHIDskAR6OuQDfcHWis,110,True,25b9cd61a3851dee90d727855d8c865f214d677b077e0d13c5e4d4a4ab71d6f5,,503
111,ChIJjVX390P_sUARX2E7BgLlApc,location_111_ChIJjVX390P_sUARX2E7BgLlApc,111,True,bedcb436b741e13778ff7a43e8f02d87409017b8ae15385481a3e59cc7182fb1,,536
112,ChIJjbjHS8ABskARNFdX3Yy4N7o,location_112_ChIJjbjHS8ABskARNFdX3Yy4N7o,112,True,ac7a59f764222c2cc26c7c520b3507bc708caa3335a9827670f9234e383c3753,,517
113,ChIJkbSXavX_sUAR4bhhFWw7sUo,location_113_ChIJkbSXavX_sUAR4bhhFWw7sUo,113,True,7cca378b2b6d28e876a6fc5e8cb3d02367e458e2cb86f524998cd9c1cfe44f94,,483
114,ChIJlX8jHcUBskARZFtXRgYZSlw,location_114_ChIJlX8jHcUBskARZFtXRgYZSlw,114,True,68260b1c4f050e7d91cb0f7991470205ba14a20e153a552e2cb31995e0d57303,,525
115,ChIJm8LhsTH_sUAR2HsA0oV89O4,location_115_ChIJm8LhsTH_sUAR2HsA0oV89O4,115,True,cf69a286589d54daa328c7a1aed9dad99bb0148572d2ea3369f75ea38b1b624c,,497
116,ChIJmcqW5a0BskARdvBGVFjkmZU,location_116_ChIJmcqW5a0BskARdvBGVFjkmZU,116,True,7573c3dcbb27afff0c3887eea0381d75e21d094f61bbbeda6ddb07b84dff30a8,,521
117,ChIJo8C3GtQDskARePYHTmx-MsY,location_117_ChIJo8C3GtQDskARePYHTmx-MsY,117,True,23384544e4360456bca78977f24c1fa0b8186833fbbe350897d6ccd4352571b3,,511
118,ChIJo8bwQ_D_sUARn2EzfcsnsHw,location_118_ChIJo8bwQ_D_sUARn2EzfcsnsHw,118,True,416ed44908e9078e26f0e30c0d64e0c2d9d0d31763cfd5265145ca76bdcbd559,,519
119,ChIJp-Z-z2D_sUARCdWr9m4b42c,location_119_ChIJp-Z-z2D_sUARCdWr9m4b42c,119,True,e171f7a1f07b440d94a94c01ebb7eae4f398f5510549b5d836c499bb09f3c740,,490
120,ChIJpcqOHyIBskAR3MR7RZGSWx0,location_120_ChIJpcqOHyIBskAR3MR7RZGSWx0,120,True,ccea933572ff4af775ffdf18575ff76a8ff2b40f82d9a8db23e08651277d5506,,488
121,ChIJq5_LaygBskARVIimvQ4smF8,location_121_ChIJq5_LaygBskARVIimvQ4smF8,121,True,d710c9b80d3082f1354dc04395b9ef12740ebee29431bbcdcc8c83217f4e34a0,,495
122,ChIJqagCgrwBskARyUgvvOR_a60,location_122_ChIJqagCgrwBskARyUgvvOR_a60,122,True,29e51651f88c84dfbc2fdda068dbd0cc8a6ad158cef4bc8d6f5c6e5330cb498f,,511
123,ChIJqaokONf-sUARFa4nl6PI_bc,location_123_ChIJqaokONf-sUARFa4nl6PI_bc,123,True,a293270b87187b5772d6f4215a932e42640e86d6b1488bd0fe99de38ad71026d,,500
124,ChIJqxAXuq34sUARWNc4_wLK2jI,location_124_ChIJqxAXuq34sUARWNc4_wLK2jI,124,True,cdaa024320b3149ac65d200c38bb85eecf9417189abd7ad4ee526a490528c700,,549
125,ChIJr0vvm6v_sUARrQTBOXT_Pso,location_125_ChIJr0vvm6v_sUARrQTBOXT_Pso,125,True,f66229b36d021c231f171b6571d73138a60b141392b74b1cf4bb6f25230ea96e,,539
126,ChIJsYmDp2r_sUARM9xQrTQhs4o,location_126_ChIJsYmDp2r_sUARM9xQrTQhs4o,126,True,13b948fa4ecce33b14c0bbcb70fd2d6dde719c275fa90d9503b2b37f04e1d291,,509
